accident_year,accident_time,weather,road_status,road_type,accident_classification,accident_nature,accident_reason,city,zone,street,accident_severity,death_count,birth_year_of_accident_perpetr,nationality_group_of_accident,total
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,23.0,920.0,SIMPLE,0,1988,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,52.0,-1.0,SIMPLE,0,1984,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,52.0,745.0,SIMPLE,0,1997,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,029,70.0,-1.0,SIMPLE,0,1995,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,028,56.0,1.0,SIMPLE,0,1967,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,002,74.0,672.0,SIMPLE,0,1986,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,007,71.0,445.0,SIMPLE,0,1979,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,45.0,250.0,SIMPLE,0,1980,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,55.0,170.0,SIMPLE,0,1984,ARABI,1
2020-01-01,8PM,,,,COLLISION,,DRUNK,001,44.0,260.0,SIMPLE,0,1985,AFRIC,1
2020-01-01,8PM,,,,COLLISION,,,001,56.0,13.0,SIMPLE,0,2000,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,51.0,765.0,SIMPLE,0,1994,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,39.0,251.0,SIMPLE,0,1986,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,26.0,882.0,SIMPLE,0,2000,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,45.0,750.0,SIMPLE,0,1997,ASIA,1
2020-01-01,8PM,,,INTERNAL,,COLLISION WITH ONE OR MORE VEHICLES,,001,45.0,-1.0,,0,0,,9
2020-01-01,8PM,,,INTERNAL,COLLISION,,,007,70.0,456.0,SIMPLE,0,1987,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,53.0,663.0,SIMPLE,0,1988,AFRIC,1
2020-01-01,8PM,,,,COLLISION,COLLISION WITH FIXED OBJECT,,001,43.0,660.0,SIMPLE,0,1991,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,32.0,955.0,SIMPLE,0,1966,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,29.0,210.0,SIMPLE,0,1982,EUROP,1
2020-01-01,8PM,,,,COLLISION,,,001,53.0,530.0,SIMPLE,0,1983,ASIA,1
2020-01-01,8PM,,,EXTERNAL,COLLISION,,OTHER,003,94.0,-1.0,SIMPLE,0,0,,1
2020-01-01,8PM,,,INTERNAL,COUP,INVERSION,,009,51.0,130.0,LIGHT INJURY,0,1987,AFRIC,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,39.0,251.0,SIMPLE,0,1985,ASIA,2
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,45.0,840.0,SIMPLE,0,1990,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,001,56.0,-1.0,SIMPLE,0,1993,ASIA,2
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,35.0,232.0,SIMPLE,0,0,,1
2020-01-01,8PM,,,,COLLISION,,,027,91.0,201.0,SIMPLE,0,1981,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,009,55.0,363.0,SIMPLE,0,1984,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,53.0,910.0,SIMPLE,0,1989,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,001,54.0,625.0,SIMPLE,0,1981,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,54.0,517.0,SIMPLE,0,1990,AFRIC,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,69.0,-1.0,SIMPLE,0,1996,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,56.0,666.0,SIMPLE,0,1987,ASIA,1
2020-01-01,8PM,,,,COLLISION,COLLISION WITH FIXED OBJECT,,001,66.0,101.0,SIMPLE,0,1999,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,009,54.0,280.0,SIMPLE,0,1983,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,61.0,831.0,SIMPLE,0,1987,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,14.0,860.0,SIMPLE,0,1991,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,001,31.0,380.0,SIMPLE,0,1990,ARABI,1
2020-01-01,8PM,,,INTERNAL,COUP,INVERSION,,001,55.0,340.0,SIMPLE,0,1991,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,005,90.0,611.0,SIMPLE,0,1978,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,70.0,3090.0,SIMPLE,0,1979,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,001,14.0,841.0,SIMPLE,0,1,,1
2020-01-01,8PM,,,,COLLISION,,,001,52.0,902.0,SIMPLE,0,1974,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,40.0,969.0,SIMPLE,0,1988,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,55.0,670.0,SIMPLE,0,1976,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,001,51.0,253.0,SIMPLE,0,1983,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,53.0,652.0,SIMPLE,0,1980,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,52.0,902.0,SIMPLE,0,1977,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,001,37.0,-1.0,SIMPLE,0,1978,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,005,90.0,1079.0,SIMPLE,0,1990,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,1.0,119.0,SIMPLE,0,1994,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,24.0,936.0,SIMPLE,0,1984,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,40.0,868.0,SIMPLE,0,1995,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,16.0,950.0,SIMPLE,0,1973,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,56.0,52.0,SIMPLE,0,1985,ASIA,1
